product_id,product_title,rating,total_reviews,price,top_reviews
itmfad620b791ea9,"Samsung 7 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"6,057","₹17,440","5 Just wow! Caution with the reviews. There are other model's reviews mixed in this page. I've purchased 7Kg model. The machine is soo silent. Cleaning is good. There aren't any dedicated buttons for manual adjustments for rinse and spin etc. But it can be done:- you can manually set rinse cycle, wash cycle, dry cycle etc. READ MORE sandeep Santhosh Certified Buyer , Kottayam Feb, 2023 130 31 Permalink Report Abuse || 5 Best in the market! Washer is very silent while operating. Door has hydrolic system. Can operate from mobile using smart things app. Installation and demo done the next day of delivery. Overall satisfied with the purchase 😀 READ MORE SHINE KOCHATH RAMANATHAN Certified Buyer , Thrissur Mar, 2023 24 3 Permalink Report Abuse"
itmc6526adbb9164,"Samsung 8 kg 5 star, Ecobubble, Digital Inverter, Fully Automatic Top Load Washing Machine Grey",4.3,"6,057","₹19,500","5 Just wow! Caution with the reviews. There are other model's reviews mixed in this page. I've purchased 7Kg model. The machine is soo silent. Cleaning is good. There aren't any dedicated buttons for manual adjustments for rinse and spin etc. But it can be done:- you can manually set rinse cycle, wash cycle, dry cycle etc. READ MORE sandeep Santhosh Certified Buyer , Kottayam Feb, 2023 130 31 Permalink Report Abuse || 5 Best in the market! Washer is very silent while operating. Door has hydrolic system. Can operate from mobile using smart things app. Installation and demo done the next day of delivery. Overall satisfied with the purchase 😀 READ MORE SHINE KOCHATH RAMANATHAN Certified Buyer , Thrissur Mar, 2023 24 3 Permalink Report Abuse"
itm45d6cd26e5975,Samsung 7 kg Diamond Drum Fully Automatic Top Load Washing Machine Silver,4.3,"6,057","₹14,790","5 Just wow! Caution with the reviews. There are other model's reviews mixed in this page. I've purchased 7Kg model. The machine is soo silent. Cleaning is good. There aren't any dedicated buttons for manual adjustments for rinse and spin etc. But it can be done:- you can manually set rinse cycle, wash cycle, dry cycle etc. READ MORE sandeep Santhosh Certified Buyer , Kottayam Feb, 2023 130 31 Permalink Report Abuse || 5 Best in the market! Washer is very silent while operating. Door has hydrolic system. Can operate from mobile using smart things app. Installation and demo done the next day of delivery. Overall satisfied with the purchase 😀 READ MORE SHINE KOCHATH RAMANATHAN Certified Buyer , Thrissur Mar, 2023 24 3 Permalink Report Abuse"
itm0457bfe334f58,"Samsung 10 kg 5 Star, AI Wash, Ecobubble, AI Energy Mode, AI VRT+, Soft Closing Door, Wi-Fi, Digital I...",4.3,"6,057","₹25,990","5 Just wow! Caution with the reviews. There are other model's reviews mixed in this page. I've purchased 7Kg model. The machine is soo silent. Cleaning is good. There aren't any dedicated buttons for manual adjustments for rinse and spin etc. But it can be done:- you can manually set rinse cycle, wash cycle, dry cycle etc. READ MORE sandeep Santhosh Certified Buyer , Kottayam Feb, 2023 130 31 Permalink Report Abuse || 5 Best in the market! Washer is very silent while operating. Door has hydrolic system. Can operate from mobile using smart things app. Installation and demo done the next day of delivery. Overall satisfied with the purchase 😀 READ MORE SHINE KOCHATH RAMANATHAN Certified Buyer , Thrissur Mar, 2023 24 3 Permalink Report Abuse"
itm5c2eea1d02979,"Samsung 7 kg 5 star, Air Turbo Drying Semi Automatic Top Load Washing Machine Grey, Purple",4.4,"2,153","₹10,490","5 Best in the market! This product is awesome and valuable this amount Anybody use this product My first salary to gift my mom ❣️ READ MORE Abhishek Chaudhary Certified Buyer , New Delhi May, 2024 53 6 Permalink Report Abuse || 4 Wonderful Budget Washing machine for middle class family who is don't have time for hand washing,i bought for my mother READ MORE PRAVEEN KUMAR EEGA Certified Buyer , Sri Potti Sriramulu Nellore District Oct, 2022 518 144 Permalink Report Abuse"
